alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
6.29,60.73,23.78,12.06,6.32,8.55,6.31,6.29,0.12,0.02,0.02,0.31,0.09,0.00,25.1,45.7,37.4
31.33,17.85,27.64,29.37,6.09,6.73,6.19,6.22,0.06,0.03,0.04,0.05,0.25,0.07,17.8,47.6,47.4
6.93,58.79,1.78,25.13,7.14,8.58,6.32,6.34,0.15,0.02,0.05,0.37,0.11,0.00,25.3,34.9,23.8
31.04,24.32,26.05,27.27,6.41,7.86,6.46,6.25,0.40,0.68,0.03,0.71,0.25,0.02,19.0,32.4,27.6
5.86,57.30,2.82,14.30,8.27,9.45,6.66,6.88,0.71,0.02,0.02,0.06,0.14,0.00,26.2,24.9,10.8
21.49,0.00,5.89,15.48,6.36,6.82,6.00,6.09,0.52,0.03,0.05,0.09,0.30,0.07,17.5,43.4,42.5
47.15,30.14,14.90,27.27,6.00,8.44,6.00,6.02,0.47,0.02,0.10,0.26,0.30,0.00,18.8,69.4,73.2
3.42,60.79,34.49,20.91,6.00,6.02,6.00,6.00,0.02,0.02,0.03,0.75,0.20,0.00,21.3,106.0,115.0
6.64,17.78,12.79,24.83,6.88,7.01,6.46,6.69,0.27,0.25,0.06,0.29,0.30,0.07,19.0,19.6,11.8
10.84,65.31,30.51,18.24,6.49,6.32,6.00,6.01,0.54,0.02,0.63,0.14,0.14,0.00,23.6,77.4,77.6
14.87,77.26,1.55,18.08,7.09,8.59,9.08,6.78,0.09,0.02,0.03,0.40,0.00,0.00,29.0,31.8,16.3
12.60,49.76,12.30,28.17,7.58,9.46,8.91,9.02,0.03,0.07,0.02,0.42,0.16,0.00,26.1,19.6,4.4
12.40,57.30,14.31,5.56,7.89,9.44,6.66,6.88,0.71,0.02,0.02,0.06,0.14,0.00,26.2,24.9,10.8
10.75,65.45,12.97,6.65,7.55,9.50,8.16,6.90,0.73,0.02,0.02,0.03,0.07,0.00,27.8,25.7,10.0
27.93,21.26,25.94,12.20,6.58,6.47,6.19,6.22,0.37,0.02,0.02,0.20,0.27,0.09,17.9,37.0,34.3
13.25,42.83,26.81,17.11,6.62,9.40,6.20,6.16,0.24,0.03,0.02,0.04,0.23,0.00,22.3,40.6,34.0
28.23,31.12,9.09,22.60,7.15,8.46,6.27,6.44,0.21,0.09,0.16,0.13,0.27,0.00,20.4,24.5,16.3
6.06,23.46,25.18,11.25,6.41,6.93,6.28,6.28,0.25,0.25,0.10,0.59,0.27,0.05,18.4,34.2,30.4
17.47,6.63,31.71,10.27,6.10,7.16,6.04,6.00,0.49,0.52,0.02,0.18,0.25,0.07,17.6,58.4,60.8
6.55,9.93,26.82,23.70,6.64,6.82,6.29,6.30,0.20,0.02,0.04,0.43,0.25,0.07,18.4,31.0,26.4
29.27,77.56,21.82,3.00,7.99,9.50,9.22,8.64,0.72,0.06,0.02,0.05,0.00,0.00,30.4,27.9,10.1
2.27,49.24,31.19,7.47,6.13,9.47,6.14,6.14,0.37,0.04,0.03,0.42,0.16,0.00,23.1,57.1,53.5
7.16,26.95,25.07,19.18,6.45,6.02,6.45,6.17,0.08,0.02,0.06,0.37,0.25,0.11,17.5,45.8,45.5
11.62,26.94,30.55,29.13,6.11,6.07,6.01,6.02,0.26,0.02,0.04,0.71,0.27,0.09,16.9,69.2,74.6
33.13,60.27,23.74,11.76,6.51,6.93,6.00,6.00,0.47,0.02,0.12,0.27,0.11,0.00,24.1,59.8,55.6
4.98,21.83,22.85,16.62,7.17,7.00,6.64,6.27,0.21,0.36,0.02,0.75,0.27,0.05,18.9,23.6,16.9
29.35,59.63,27.74,14.82,6.10,9.38,6.15,6.25,0.68,0.02,0.03,0.25,0.09,0.00,24.8,56.5,50.9
16.53,24.44,26.99,28.02,6.30,6.16,6.18,6.05,0.68,0.55,0.49,0.03,0.27,0.09,17.2,52.1,53.5
5.08,22.60,13.57,18.90,7.29,6.78,6.29,6.33,0.24,0.57,0.02,0.40,0.30,0.05,18.6,25.1,18.9
30.03,57.97,22.46,10.35,7.45,9.01,7.57,6.64,0.75,0.02,0.02,0.16,0.11,0.00,26.3,25.9,11.9
5.63,26.72,29.05,10.04,6.30,7.13,6.15,6.02,0.27,0.04,0.03,0.06,0.25,0.02,18.5,48.7,48.0
8.38,61.59,1.21,25.16,6.50,8.52,6.43,6.28,0.08,0.02,0.02,0.72,0.09,0.00,25.4,40.7,30.9
32.24,49.55,27.62,4.06,6.42,7.71,6.33,6.32,0.37,0.02,0.02,0.53,0.18,0.00,23.5,41.5,33.9
5.99,57.95,22.60,7.70,7.39,9.49,7.47,7.01,0.60,0.02,0.02,0.60,0.11,0.00,26.7,23.4,8.5
11.69,42.85,15.63,11.33,7.90,9.50,8.84,7.29,0.71,0.02,0.02,0.07,0.23,0.00,24.5,17.5,3.5
